time;cpi
2017-02-01;100.53
2017-03-01;101.17
2017-04-01;101.26
2017-05-01;101.31
2017-06-01;101.32
2017-07-01;100.97
2017-08-01;101.49
2017-09-01;101.33
2017-10-01;101.43
2017-11-01;101.53
2017-12-01;101.85
2018-01-01;101.75
2018-02-01;101.72
2018-03-01;102.75
2018-04-01;102.92
2018-05-01;103.36
2018-06-01;103.37
2018-07-01;103.28
2018-08-01;103.78
2018-09-01;103.56
2018-10-01;103.67
2018-11-01;103.45
2018-12-01;103.47
2019-01-01;103.01
2019-02-01;103.06
2019-03-01;103.89
2019-04-01;104.22
2019-05-01;104.33
2019-06-01;104.58
2019-07-01;104.38
2019-08-01;104.86
2019-09-01;104.5
2019-10-01;104.46
2019-11-01;104.52
2019-12-01;104.98
