model,strategy,initial_capital,max_bet_pct,n_signals,n_executed,final_capital,roi,max_drawdown,skipped_capital,skipped_concentration
random_forest,top1pct_edge,10000,0.05,2571,283,9994.000000000004,-0.0005999999999996362,5.999999999996362,0,1322
random_forest,top1pct_edge,10000,0.1,2571,283,9994.000000000004,-0.0005999999999996362,5.999999999996362,0,1322
random_forest,top1pct_edge,100000,0.01,2571,570,99994.00000000025,-5.999999999752618e-05,5.999999999796273,0,0
random_forest,top1pct_edge,100000,0.05,2571,570,99994.00000000025,-5.999999999752618e-05,5.999999999796273,0,0
random_forest,top1pct_edge,100000,0.1,2571,570,99994.00000000025,-5.999999999752618e-05,5.999999999796273,0,0
random_forest,top5pct_edge,1000,0.01,12858,167,976.5000000000006,-0.02349999999999943,23.49999999999943,0,11063
random_forest,top5pct_edge,1000,0.05,12858,105,981.0000000000005,-0.018999999999999545,18.999999999999545,0,11629
random_forest,top5pct_edge,1000,0.1,12858,99,981.5000000000002,-0.018499999999999774,18.499999999999773,0,11590
random_forest,top5pct_edge,10000,0.01,12858,677,9919.500000000004,-0.008049999999999636,80.49999999999636,0,7526
random_forest,top5pct_edge,10000,0.05,12858,668,9920.000000000004,-0.007999999999999636,79.99999999999636,0,7616
random_forest,top5pct_edge,10000,0.1,12858,668,9920.000000000004,-0.007999999999999636,79.99999999999636,0,7616
random_forest,top5pct_edge,100000,0.01,12858,1959,99873.50000000036,-0.001264999999996362,126.49999999967986,0,0
random_forest,top5pct_edge,100000,0.05,12858,1959,99873.50000000036,-0.001264999999996362,126.49999999967986,0,0
random_forest,top5pct_edge,100000,0.1,12858,1959,99873.50000000036,-0.001264999999996362,126.49999999967986,0,0
random_forest,phat_gt_0.9,1000,0.01,12569,916,999.9999999999998,-2.2737367544323206e-16,1.8189894035458565e-12,0,8899
random_forest,phat_gt_0.9,1000,0.05,12569,873,1003.5236808280425,0.0035236808280425295,2.6147972675971687e-12,0,8329
random_forest,phat_gt_0.9,1000,0.1,12569,876,1018.3884368804419,0.018388436880441873,0.003773684210841566,0,9877
random_forest,phat_gt_0.9,10000,0.01,12569,1775,10033.852856932428,0.003385285693242804,5.638867150992155e-11,0,4980
random_forest,phat_gt_0.9,10000,0.05,12569,1771,10037.295434865757,0.003729543486575676,5.638867150992155e-11,0,4939
random_forest,phat_gt_0.9,10000,0.1,12569,1771,10037.295434865757,0.003729543486575676,5.638867150992155e-11,0,4939
random_forest,phat_gt_0.9,100000,0.01,12569,3193,100044.54447500936,0.000445444750093593,1.2660166248679161e-09,0,0
random_forest,phat_gt_0.9,100000,0.05,12569,3193,100044.54447500936,0.000445444750093593,1.2660166248679161e-09,0,0
random_forest,phat_gt_0.9,100000,0.1,12569,3193,100044.54447500936,0.000445444750093593,1.2660166248679161e-09,0,0
hist_gbm,general_ev,1000,0.01,112031,438,1097.1889230100448,0.09718892301004485,73.44667413487332,0,106365
hist_gbm,general_ev,1000,0.05,112031,303,1136.8234640367373,0.13682346403673729,45.55311408052603,0,108360
hist_gbm,general_ev,1000,0.1,112031,300,1138.8234640367373,0.1388234640367373,44.55311408052626,0,107806
hist_gbm,general_ev,10000,0.01,112031,2178,11354.70868650387,0.1354708686503869,367.4999999999909,0,96312
hist_gbm,general_ev,10000,0.05,112031,2099,11383.845143750235,0.13838451437502353,362.4999999999927,0,95127
hist_gbm,general_ev,10000,0.1,112031,2099,11383.845143750235,0.13838451437502353,362.4999999999927,0,95127
hist_gbm,general_ev,100000,0.01,112031,11999,99970.97386187548,-0.0002902613812452182,3408.49999999952,0,41715
hist_gbm,general_ev,100000,0.05,112031,11999,99970.97386187548,-0.0002902613812452182,3408.49999999952,0,41715
hist_gbm,general_ev,100000,0.1,112031,11999,99970.97386187548,-0.0002902613812452182,3408.49999999952,0,41715
hist_gbm,home_run,1000,0.01,0,0,1000.0,0.0,0.0,0,0
hist_gbm,home_run,1000,0.05,0,0,1000.0,0.0,0.0,0,0
hist_gbm,home_run,1000,0.1,0,0,1000.0,0.0,0.0,0,0
hist_gbm,home_run,10000,0.01,0,0,10000.0,0.0,0.0,0,0
hist_gbm,home_run,10000,0.05,0,0,10000.0,0.0,0.0,0,0
hist_gbm,home_run,10000,0.1,0,0,10000.0,0.0,0.0,0,0
hist_gbm,home_run,100000,0.01,0,0,100000.0,0.0,0.0,0,0
hist_gbm,home_run,100000,0.05,0,0,100000.0,0.0,0.0,0,0
hist_gbm,home_run,100000,0.1,0,0,100000.0,0.0,0.0,0,0
hist_gbm,top1pct_phat,1000,0.01,2571,233,999.9999999999991,-9.094947017729283e-16,1.2505552149377763e-12,0,1811
hist_gbm,top1pct_phat,1000,0.05,2571,206,1007.4325916036751,0.0074325916036750645,1.0231815394945443e-12,0,2053
hist_gbm,top1pct_phat,1000,0.1,2571,198,1012.4408813427757,0.012440881342775698,1.0231815394945443e-12,0,2065
hist_gbm,top1pct_phat,10000,0.01,2571,404,10071.584007099584,0.007158400709958369,9.094947017729282e-12,0,1328
hist_gbm,top1pct_phat,10000,0.05,2571,403,10074.588161456386,0.007458816145638593,9.094947017729282e-12,0,1329
hist_gbm,top1pct_phat,10000,0.1,2571,403,10074.588161456386,0.007458816145638593,9.094947017729282e-12,0,1329
hist_gbm,top1pct_phat,100000,0.01,2571,611,100073.92967821003,0.0007392967821002822,1.1641532182693481e-10,0,0
hist_gbm,top1pct_phat,100000,0.05,2571,611,100073.92967821003,0.0007392967821002822,1.1641532182693481e-10,0,0
hist_gbm,top1pct_phat,100000,0.1,2571,611,100073.92967821003,0.0007392967821002822,1.1641532182693481e-10,0,0
hist_gbm,top1pct_edge,1000,0.01,2571,115,960.0,-0.04,40.0,0,306
