model,strategy,initial_capital,max_bet_pct,liquidity_scaler,n_signals,n_executed,final_capital,roi,max_drawdown,skipped_capital,skipped_concentration
random_forest,phat_gt_0.95,1000,0.1,1.0,6607,896,1769.8348494030015,0.7698348494030015,9.325210526315232,0,5009
random_forest,phat_gt_0.95,1000,0.1,0.1,6607,729,884.753217354296,-0.115246782645704,126.0376447945041,0,4482
random_forest,phat_gt_0.95,10000,0.01,1.0,6607,1263,11033.03577175993,0.10330357717599309,9.32521052631273,0,4330
random_forest,phat_gt_0.95,10000,0.01,0.1,6607,1601,9754.168117148254,-0.024583188285174584,252.4366091675456,0,904
random_forest,phat_gt_0.95,10000,0.05,1.0,6607,1258,11057.486055598387,0.10574860555983868,9.32521052631273,0,3508
random_forest,phat_gt_0.95,10000,0.05,0.1,6607,1601,9755.942575670793,-0.02440574243292067,250.66215064500648,0,904
random_forest,phat_gt_0.95,10000,0.1,1.0,6607,1258,11057.486055598387,0.10574860555983868,9.32521052631273,0,3508
random_forest,phat_gt_0.95,10000,0.1,0.1,6607,1601,9755.942575670793,-0.02440574243292067,250.66215064500648,0,904
random_forest,phat_gt_0.95,100000,0.01,1.0,6607,3070,102592.21732848034,0.02592217328480343,9.325210526338196,0,175
random_forest,phat_gt_0.95,100000,0.01,0.1,6607,1839,99769.63839390519,-0.0023036160609481156,236.96633241062227,0,0
random_forest,phat_gt_0.95,100000,0.05,1.0,6607,3070,102592.21732848034,0.02592217328480343,9.325210526338196,0,175
random_forest,phat_gt_0.95,100000,0.05,0.1,6607,1839,99769.63839390519,-0.0023036160609481156,236.96633241062227,0,0
random_forest,phat_gt_0.95,100000,0.1,1.0,6607,3070,102592.21732848034,0.02592217328480343,9.325210526338196,0,175
random_forest,phat_gt_0.95,100000,0.1,0.1,6607,1839,99769.63839390519,-0.0023036160609481156,236.96633241062227,0,0
random_forest,phat_gt_0.99,1000,0.01,1.0,1483,313,976.2017578613165,-0.023798242138683465,23.839569824849036,0,772
random_forest,phat_gt_0.99,1000,0.01,0.1,1483,302,891.937487857916,-0.10806251214208396,108.06251214208396,0,62
random_forest,phat_gt_0.99,1000,0.05,1.0,1483,287,1098.4424705693075,0.0984424705693075,4.284842105263124,0,565
random_forest,phat_gt_0.99,1000,0.05,0.1,1483,291,910.6849140864251,-0.08931508591357487,91.20664736786989,0,248
random_forest,phat_gt_0.99,1000,0.1,1.0,1483,288,1148.1788412449266,0.1481788412449266,4.284842105263124,0,588
random_forest,phat_gt_0.99,1000,0.1,0.1,1483,291,916.5276900673455,-0.08347230993265453,87.77350202724801,0,248
random_forest,phat_gt_0.99,10000,0.01,1.0,1483,500,10216.998562877234,0.021699856287723376,4.284842105264033,0,250
random_forest,phat_gt_0.99,10000,0.01,0.1,1483,349,9921.37612370426,-0.007862387629574004,83.34316936449613,0,0
random_forest,phat_gt_0.99,10000,0.05,1.0,1483,500,10217.252918073234,0.02172529180732345,4.284842105264033,0,250
random_forest,phat_gt_0.99,10000,0.05,0.1,1483,349,9921.680318307108,-0.007831968169289211,83.08283958762877,0,0
random_forest,phat_gt_0.99,10000,0.1,1.0,1483,500,10217.252918073234,0.02172529180732345,4.284842105264033,0,250
random_forest,phat_gt_0.99,10000,0.1,0.1,1483,349,9921.680318307108,-0.007831968169289211,83.08283958762877,0,0
random_forest,phat_gt_0.99,100000,0.01,1.0,1483,612,100319.61341741451,0.003196134174145118,4.284842105262214,0,0
random_forest,phat_gt_0.99,100000,0.01,0.1,1483,349,99921.68031830703,-0.0007831968169297034,83.08283958773245,0,0
random_forest,phat_gt_0.99,100000,0.05,1.0,1483,612,100319.61341741451,0.003196134174145118,4.284842105262214,0,0
random_forest,phat_gt_0.99,100000,0.05,0.1,1483,349,99921.68031830703,-0.0007831968169297034,83.08283958773245,0,0
random_forest,phat_gt_0.99,100000,0.1,1.0,1483,612,100319.61341741451,0.003196134174145118,4.284842105262214,0,0
random_forest,phat_gt_0.99,100000,0.1,0.1,1483,349,99921.68031830703,-0.0007831968169297034,83.08283958773245,0,0
random_forest,general_ev_cheap,1000,0.01,1.0,51097,315,246.6425731243832,-0.7533574268756167,753.3574268756167,0,13618
random_forest,general_ev_cheap,1000,0.01,0.1,51097,287,221.64165402999225,-0.7783583459700079,778.3583459700078,0,12264
random_forest,general_ev_cheap,1000,0.05,1.0,51097,186,161.31263588325768,-0.8386873641167423,838.6873641167423,0,41948
random_forest,general_ev_cheap,1000,0.05,0.1,51097,206,129.44115395882437,-0.8705588460411757,870.5588460411757,0,12408
random_forest,general_ev_cheap,1000,0.1,1.0,51097,152,145.58853954654901,-0.8544114604534511,854.411460453451,0,41977
random_forest,general_ev_cheap,1000,0.1,0.1,51097,184,120.49674409321429,-0.8795032559067857,879.5032559067857,0,12414
random_forest,general_ev_cheap,10000,0.01,1.0,51097,1156,1708.3515215747864,-0.8291648478425213,8291.648478425213,0,47110
random_forest,general_ev_cheap,10000,0.01,0.1,51097,1377,2193.3056661025016,-0.7806694333897498,7806.694333897498,0,41529
random_forest,general_ev_cheap,10000,0.05,1.0,51097,819,1231.3435793741874,-0.8768656420625812,8768.656420625812,0,41203
