model,strategy,cost_floor,copycats,n_signals,n_executed,final_capital,roi,max_drawdown
hist_gbm,general_ev,0.1,50,112031,2336,9829.103000770894,-0.017089699922910585,666.9999999999891
hist_gbm,general_ev,0.1,100,112031,2254,9254.499999999982,-0.07455000000000182,745.5000000000182
hist_gbm,general_ev,0.2,1,119958,3970,23114.11772247952,1.3114117722479521,97.38949999996112
hist_gbm,general_ev,0.2,5,119958,3634,15691.394100763613,0.5691394100763613,81.00000000000364
hist_gbm,general_ev,0.2,10,119958,3705,13746.20348227107,0.37462034822710705,86.99999999999454
hist_gbm,general_ev,0.2,25,119958,3217,11923.205913275473,0.1923205913275473,133.50000000000364
hist_gbm,general_ev,0.2,50,119958,2979,10972.78650879757,0.09727865087975697,199.5000000000109
hist_gbm,general_ev,0.2,100,119958,2020,10395.559175425286,0.03955591754252855,129.25974750000205
random_forest,general_ev,0.001,1,114774,1152,11337.633995801181,0.13376339958011813,311.5000000000109
random_forest,general_ev,0.001,5,114774,1862,11516.171764728942,0.15161717647289424,418.0000000000182
random_forest,general_ev,0.001,10,114774,1766,10751.648000293531,0.07516480002935313,400.50000000000546
random_forest,general_ev,0.001,25,114774,2045,9491.000000000007,-0.05089999999999927,508.9999999999927
random_forest,general_ev,0.001,50,114774,2145,9457.999999999989,-0.054200000000001095,542.0000000000109
random_forest,general_ev,0.001,100,114774,1877,9526.499999999995,-0.047350000000000544,473.50000000000546
random_forest,general_ev,0.01,1,114752,1150,11332.168952961529,0.13321689529615288,312.5000000000109
random_forest,general_ev,0.01,5,114752,1859,11515.171764728944,0.15151717647289442,419.00000000001637
random_forest,general_ev,0.01,10,114752,1770,10751.64800029353,0.07516480002935295,400.0000000000073
random_forest,general_ev,0.01,25,114752,2048,9489.500000000005,-0.05104999999999946,510.49999999999454
random_forest,general_ev,0.01,50,114752,2139,9460.499999999987,-0.053950000000001275,539.5000000000127
random_forest,general_ev,0.01,100,114752,1872,9528.999999999993,-0.047100000000000725,471.0000000000073
random_forest,general_ev,0.05,1,115282,1152,11338.133995801185,0.13381339958011848,311.5000000000109
random_forest,general_ev,0.05,5,115282,1894,11528.161916296513,0.15281619162965127,414.5000000000182
random_forest,general_ev,0.05,10,115282,1832,10739.09392208681,0.07390939220868095,406.50000000000546
random_forest,general_ev,0.05,25,115282,2136,9506.000000000005,-0.04939999999999945,493.99999999999636
